,Combination,Count_ICC_above_0_8,Count_ICC_above_0_6
0,Mon_Wed,0,0
1,Mon_Thu,0,0
2,Fri_Sun,0,1
3,Mon_Sat,0,1
4,Mon_Fri,0,1
5,Sat_Sun,0,1
6,Tue_Fri_Sat,1,5
7,Thu_Fri_Sat,1,5
8,Wed_Fri_Sat,1,4
9,Mon_Tue_Sun,0,4
10,Mon_Tue_Sat,0,5
11,Fri_Sat_Sun,0,5
12,Wed_Thu_Fri_Sat,3,5
13,Tue_Thu_Sat_Sun,3,5
14,Tue_Thu_Fri_Sat,3,5
15,Mon_Tue_Thu_Sun,0,5
16,Mon_Wed_Thu_Sun,0,5
17,Mon_Tue_Wed_Sun,0,5
18,Mon_Tue_Wed_Thu_Sat,5,5
19,Mon_Wed_Thu_Fri_Sat,5,5
20,Tue_Thu_Fri_Sat_Sun,5,5
21,Mon_Wed_Fri_Sat_Sun,4,5
22,Mon_Tue_Wed_Fri_Sun,4,5
23,Mon_Wed_Thu_Fri_Sun,3,5
24,Mon_Tue_Wed_Thu_Fri_Sun,5,5
25,Mon_Tue_Wed_Thu_Sat_Sun,5,5
26,Mon_Tue_Wed_Fri_Sat_Sun,5,5
27,Mon_Tue_Thu_Fri_Sat_Sun,5,5
28,Mon_Wed_Thu_Fri_Sat_Sun,5,5
29,Tue_Wed_Thu_Fri_Sat_Sun,5,5
